"Variable","Importance"
"Th1_cells",2.23463632618958
"MPP",1.97656798683299
"StromaScore",1.91000523328181
"Keratinocytes",1.90894054531968
"CLP",1.90883460110183
"CD8_Tcm",1.80781706535136
"CD8_naive_Tcells",1.72884955328512
"MSC",1.69459755676898
"Myocytes",1.68529131946082
"Monocytes",1.64358956705794
"ImmuneScore",1.57276369667482
"CD4_Tem",1.52973617839494
"Th2_cells",1.50479142194068
"Macrophages",1.50079979871924
"Macrophages_M2",1.46395566301387
"Sebocytes",1.39001349102832
"CD8_Tcells",1.3201130055427
"Epithelial_cells",1.29760095658878
"Neurons",1.25612543133729
"Plasma_cells",1.16953952494398
"iDC",1.11703372331923
"Melanocytes",1.09117827819157
"cDC",1.07825355305916
"Tregs",0.870197615447248
"NKT",0.855809030111137
"CD4_Tcells",0.816441090908735
"NK_cells",0.797659614747599
"Platelets",0.698527499162767
"Preadipocytes",0.670165099356606
"DC",0.663531101073658
"Memory_Bcells",0.660218790717011
"CD8_Tem",0.641635072872755
"GMP",0.588782851260603
"ly_Endothelial_cells",0.45695229097881
"Megakaryocytes",0.390626345278505
"Neutrophils",0.381030415910464
"Erythrocytes",0.322811606695035
"Basophils",0.311726073096134
"CD4_naive_Tcells",0.275093063934805
"Classswitched_memory_Bcells",0.247390369060339
"Eosinophils",0.241181958144631
"Macrophages_M1",0.182504998882363
"Adipocytes",0.172255491836509
"Bcells",0.162663656971305
"Mast_cells",0.116184002294824
"HSC",0.109484230338085
